city,fetched_at,station_timestamp,aqi,openweather_aqi_scale,pm25,pm10,o3,no2,so2,co,hour,day,month,day_of_week,aqi_change_rate,is_backfilled,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,cloud_cover,boundary_layer_height,ventilation_index,wind_speed_24h_mean,wind_u,wind_v,humidity,pressure,temperature,wind
Karachi,2021-02-17 21:00:00+00:00,2021-02-17 21:00:00+00:00,155,5.0,64.28,102.06,49.35,29.82,9.18,1001.36,21,17,2,2,0.0,True,18.7,98.0,18.4,1013.4,9.7,333.0,15.1,0.0,1.0,110.0,1067.0,13.3,4.403707847473605,-8.642763284627167,,,,
Karachi,2021-02-17 22:00:00+00:00,2021-02-17 22:00:00+00:00,155,5.0,64.23,102.11,55.08,22.62,8.82,881.2,22,17,2,2,0.0,True,18.4,99.0,18.3,1013.2,10.5,338.0,14.4,0.0,29.0,100.0,1050.0,13.178260869565218,3.93336923086708,-9.735430472951268,,,,
Karachi,2021-02-17 23:00:00+00:00,2021-02-17 23:00:00+00:00,157,5.0,67.47,105.8,55.79,21.76,9.18,907.9,23,17,2,2,2.0,True,18.3,98.0,17.9,1013.0,11.0,341.0,15.1,0.0,23.0,90.0,990.0,13.0875,3.581249699028733,-10.400704331592484,,,,
Karachi,2021-02-18 00:00:00+00:00,2021-02-18 00:00:00+00:00,160,5.0,72.91,111.97,52.93,24.33,10.25,1001.36,0,18,2,3,3.0,True,19.0,100.0,19.0,1012.9,10.2,342.0,15.5,0.0,7.0,75.0,765.0,13.116666666666667,3.151973342624466,-9.700776466210565,,,,
Karachi,2021-02-18 01:00:00+00:00,2021-02-18 01:00:00+00:00,165,5.0,82.06,121.29,45.78,32.9,12.16,1214.98,1,18,2,3,5.0,True,18.4,99.0,18.2,1013.4,9.6,347.0,14.8,0.0,97.0,60.0,576.0,13.141666666666666,2.159530121701107,-9.353952621938255,,,,
Karachi,2021-02-18 02:00:00+00:00,2021-02-18 02:00:00+00:00,178,5.0,107.09,148.52,27.18,56.89,15.97,1789.09,2,18,2,3,13.0,True,16.7,99.0,16.5,1014.1,8.7,355.0,13.7,0.0,41.0,45.0,391.5,13.145833333333334,0.7582549619046273,-8.666893873398186,,,,
Karachi,2021-02-18 03:00:00+00:00,2021-02-18 03:00:00+00:00,206,5.0,155.42,201.77,3.76,93.22,23.37,3017.43,3,18,2,3,28.0,True,18.5,92.0,17.1,1014.9,8.3,358.0,11.9,0.0,21.0,40.0,332.0,13.216666666666669,0.2896658226307568,-8.294943864258496,,,,
Karachi,2021-02-18 04:00:00+00:00,2021-02-18 04:00:00+00:00,214,5.0,164.03,209.6,15.91,104.19,31.95,3685.0,4,18,2,3,8.0,True,19.7,81.0,16.4,1015.8,8.0,355.0,16.2,0.0,7.0,75.0,600.0,13.3,0.6972459419812665,-7.969557584733964,,,,
Karachi,2021-02-18 05:00:00+00:00,2021-02-18 05:00:00+00:00,215,5.0,164.62,210.17,29.33,101.45,36.72,3845.22,5,18,2,3,1.0,True,22.5,62.0,14.8,1016.2,10.5,329.0,20.9,0.0,0.0,165.0,1732.5,13.491666666666664,5.407899786555572,-9.000256657372177,,,,
Karachi,2021-02-18 06:00:00+00:00,2021-02-18 06:00:00+00:00,194,5.0,138.42,181.34,65.8,82.94,34.81,2883.91,6,18,2,3,-21.0,True,25.6,46.0,13.0,1016.3,10.7,315.0,23.0,0.0,0.0,320.0,3424.0,13.583333333333334,7.56604255869606,-7.566042558696056,,,,
Karachi,2021-02-18 07:00:00+00:00,2021-02-18 07:00:00+00:00,229,5.0,179.13,233.28,81.54,100.08,31.95,3524.78,7,18,2,3,35.0,True,28.2,32.0,9.7,1015.7,8.9,302.0,23.0,0.0,0.0,880.0,7832.0,13.458333333333334,7.547628055792193,-4.716281451675522,,,,
Karachi,2021-02-18 08:00:00+00:00,2021-02-18 08:00:00+00:00,254,5.0,203.64,265.09,98.71,115.16,29.56,4005.43,8,18,2,3,25.0,True,29.6,22.0,5.6,1014.8,9.1,263.0,22.0,0.0,0.0,1675.0,15242.5,13.220833333333331,9.03216997993603,1.1090110249868392,,,,
Karachi,2021-02-18 09:00:00+00:00,2021-02-18 09:00:00+00:00,245,5.0,195.41,259.27,105.86,120.64,26.46,4005.43,9,18,2,3,-9.0,True,30.0,20.0,4.9,1014.0,11.4,246.0,24.5,0.0,0.0,1990.0,22686.0,12.991666666666667,10.414418217125652,4.636797731064121,,,,
Karachi,2021-02-18 10:00:00+00:00,2021-02-18 10:00:00+00:00,196,5.0,141.75,200.31,90.12,101.45,20.5,3257.75,10,18,2,3,-49.0,True,30.2,18.0,3.4,1013.4,14.2,246.0,27.0,0.0,0.0,1770.0,25134.0,12.8,12.972345498524934,5.775660331676361,,,,
Karachi,2021-02-18 11:00:00+00:00,2021-02-18 11:00:00+00:00,171,5.0,93.5,142.79,62.23,80.2,16.21,2563.48,11,18,2,3,-25.0,True,30.0,18.0,3.3,1013.3,18.1,264.0,30.6,0.0,0.0,1480.0,26788.000000000004,12.729166666666666,18.00084630616575,1.891965185144526,,,,
Karachi,2021-02-18 12:00:00+00:00,2021-02-18 12:00:00+00:00,159,5.0,71.54,114.13,40.77,72.66,13.71,2162.93,12,18,2,3,-12.0,True,28.3,29.0,8.6,1013.2,18.4,273.0,34.2,0.0,0.0,585.0,10764.0,12.758333333333333,18.37478343948416,-0.9629815948701684,,,,
