,+24h,+48h,+72h
pm25,5.265840042148578,0.20250838545865713,-0.581072439879975
pm10,6.658866438704104,1.005240010778208,-0.9732074436394026
o3,4.1135654537411,2.484440701940341,2.6965328344117054
no2,3.003943181803593,1.5880419344193182,-0.170857224107468
so2,3.8661186892343897,1.1373230867270199,0.037442077311349214
co,-0.8388884036804706,0.03933092949586001,-0.15020445592541307
aqi,-2.851524928331612,-2.3935243222868086,-2.371538379216346
aqi_lag1,-2.9788996860150623,-2.463907249567471,-2.423480019917722
aqi_lag2,-3.0997407854873176,-2.520266671565127,-2.4623162968613963
aqi_lag3,-3.0527335336104473,-2.548732386700809,-2.480447044538497
aqi_diff1,4.2692606957906145,2.383842550718301,1.700097027814865
aqi_diff3,2.385248456343936,1.8478877663429347,1.2536565868935459
aqi_lag24,-1.206717048045225,-1.5421693419120608,-0.867016014904239
aqi_lag48,-2.8253494544481996,-0.18898790347323807,-0.29060714672578997
aqi_lag168,1.75893274579903,2.1174561608654545,1.530552192310995
aqi_roll24,-2.1029842368517313,-2.2428664998975134,-1.9399399742404921
aqi_roll72,-1.8239852915694212,-0.9884079720849661,-1.0040203124683704
aqi_roll168,-0.9780141663286545,-0.19007946724558192,0.28433236757969527
aqi_minus_roll24,-2.766104191457587,-0.6928091302355294,-1.5742511486541542
aqi_minus_roll168,-3.2266871698890203,-3.5680263381081763,-4.106715267228623
aqi_minus_hourly_norm,-3.9899184939014667,-3.1711350645849095,-2.8071332065618235
hour_sin,0.3544160343427468,0.11759273573357659,0.08068570290735216
hour_cos,0.49186158800278656,0.18889396225780905,0.0816109145805683
doy_sin,0.1837593436241423,-0.7264496896878442,-1.1971105464172136
doy_cos,-0.3986889144830929,1.5041689920675498,2.2714016305755194
day_of_week,-0.13833842989045306,-0.33706281294914536,-0.04842043749766218
