,mean_abs_shap
aqi_lag3,5.056374457728996
aqi_roll24,3.8289097043180282
no2,3.0301864665414535
co,2.490076467255967
doy_cos,2.121780884033572
pm10,2.0134800990202475
aqi_diff3,1.8799364986747154
pm25,1.85953942596443
doy_sin,1.670767454108611
aqi_lag168,1.5781037155158795
aqi_roll72,1.5705013512757429
aqi_minus_roll168,1.4748409613929494
aqi,1.1592213414918149
so2,1.1574261661190548
aqi_minus_hourly_norm,1.0887839749604205
aqi_roll168,1.0802653642102809
aqi_lag2,1.025801810851148
o3,0.9327440845174773
aqi_minus_roll24,0.8440503708606992
aqi_diff1,0.6870590987556725
day_of_week,0.608778438627362
aqi_lag24,0.5510924362909538
aqi_lag48,0.5451244446165003
aqi_lag1,0.5446605665092452
hour_cos,0.09537653090444903
hour_sin,0.0704466120065686
